operator,time_us
DistributedDataParallel.forward,3667
aten::flatten_dense_tensors,672
aten::view,1815
aten::cat,3657
c10d::broadcast_,6
record_param_comms,19665
aten::unflatten_dense_tensors,1981
aten::narrow,6889
aten::slice,7835
aten::as_strided,3318
aten::copy_,5986
aten::conv2d,414
aten::convolution,455
aten::_convolution,431
aten::cudnn_convolution,9749
aten::add_,12642
aten::batch_norm,416
aten::_batch_norm_impl_index,426
aten::cudnn_batch_norm,9135
aten::empty_like,521
aten::empty,4269
aten::relu_,526
aten::clamp_min_,4881
aten::max_pool2d,3
aten::max_pool2d_with_indices,217
aten::avg_pool2d,186
aten::adaptive_avg_pool2d,6
aten::mean,37
aten::flatten,6
aten::linear,11
aten::t,58
aten::transpose,48
aten::addmm,63
aten::is_same_size,11
autograd::engine::evaluate_function: AddmmBackward0,42
AddmmBackward0,45
aten::mm,95
aten::sum,36
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,6293
torch::autograd::AccumulateGrad,2908
torch::distributed::reducer::mul_out,2854
aten::mul,4287
autograd::engine::evaluate_function: TBackward0,12
TBackward0,11
c10d::allreduce_,149
autograd::engine::evaluate_function: ViewBackward0,20
ViewBackward0,34
aten::reshape,44
autograd::engine::evaluate_function: MeanBackward1,3
MeanBackward1,9
aten::expand,4
aten::div,15
autograd::engine::evaluate_function: ReluBackward0,1122
ReluBackward0,1065
aten::threshold_backward,8539
autograd::engine::evaluate_function: CudnnBatchNormBackward0,1197
CudnnBatchNormBackward0,885
aten::cudnn_batch_norm_backward,17033
autograd::engine::evaluate_function: CatBackward0,4019
CatBackward0,3461
autograd::engine::evaluate_function: ConvolutionBackward0,928
ConvolutionBackward0,901
aten::convolution_backward,33587
aten::to,461
aten::contiguous,51
aten::clone,82
aten::add,1270
autograd::engine::evaluate_function: AvgPool2DBackward0,42
AvgPool2DBackward0,43
aten::avg_pool2d_backward,705
autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,27
MaxPool2DWithIndicesBackward0,24
aten::max_pool2d_with_indices_backward,616
aten::zero_,43
aten::fill_,171
torch.distributed.ddp.reducer::copy_bucket_to_grad,1810
whole_step_time,194.945 ms
